smiles,pred,max_tan_to_sd1_actives
CC(O)=NC=C[S@+]([O-])C1=C(C(=O)O)N2C(=O)[C@@H](C(C)(C)O)[C@H]2C1,0.8273302912712097,0.19512194
S=C(SSC(=S)N1CCCCC1)N1CCCCC1,0.823207676410675,0.2777778
CC1(C)[C@H](NC(=O)C(=NOCC(=O)O)c2csc(=N)[nH]2)C(=O)N1OS(=O)(=O)O,0.8231785893440247,0.29885057
CC=C(CO)C1CC2c3[nH]c4ccccc4c3CC3N2C(=O)C13COC,0.8230777978897095,0.20689656
CC(CC(=O)N(C)[C@@H]1C(=O)N(C)[C@@H](C)/C(O)=N/[C@H](C(C)C)C(=O)N(C)[C@@H](C)C(=O)N(C)[C@H](Cc2ccccc2)/C(O)=N/[C@@H](C(C)C)C(=O)O[C@@H]1C)C(Cl)Cl,0.8204956650733948,0.2125
CC1=NN(c2ccccc2)C(=O)[C@@]12Cc1cc(Br)ccc1N1CCN(C)C[C@H]12,0.818962812423706,0.25
CN(C)CCN(C)[C@@H]1[C@H](O)[C@H](CO)O[C@@H]1CN(Cc1ccc(Cl)cc1)Cc1cccc(Cl)c1,0.8186362981796265,0.25609756
CC1=NN(c2ccccc2)C(=O)[C@@]12Cc1cc(Br)ccc1N1CCN(C)C[C@@H]12,0.8186236023902893,0.25
C/C=C1/C(=O)N2C(C(=O)O)=C(S(=O)(=O)O)C[C@H]12,0.818623423576355,0.20754717
CC1=NN(c2ccccc2)C(=O)[C@]12Cc1cc(Br)ccc1N1CCN(C)C[C@H]12,0.8186166286468506,0.25
CC1=NN(c2ccccc2)C(=O)[C@]12Cc1cc(Br)ccc1N1CCN(C)C[C@@H]12,0.8185528516769409,0.25
C#CCCC/C=C/C=C/C1C/C(C)=C/[C@@H](OC)C[C@@H]2O[C@@](O)(CC(O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3OC)[C@@H]2C)[C@H](C)C(=O)O1,0.8174681663513184,0.23357664
CC(O)=NC=C[S@+]([O-])C1=C(C(=O)O)N2C(=O)[C@@H](C(C)(C)OS(=O)(=O)O)[C@H]2C1,0.817182183265686,0.19318181
COc1cc(C(CC(=O)N[C@@H](C)C(N)=O)C2=C(O)[C@@]3(Oc4c(Cl)c(OC)cc(OC)c4C3=O)[C@H](C)CC2=O)ccc1O,0.8167770504951477,0.24210526
C#CCCC#C/C=C/C#CC[C@H](Br)[C@@H](Cl)[C@H](O)/C(Br)=C/C=C\CC(=O)NCCCCCNC(=N)N,0.8139695525169373,0.17283951
C=C1C(=O)N2[C@H]3N(C)c4c(cc(Cl)c(OC)c4OC)[C@@]3(O)[C@@H](O)[C@@]2(SC)C(=O)N1C,0.8125283122062683,0.18446602
C=CC[C@]1(Cl)C(O)=C(Cl)/C(=N\C[C@@H](O)COc2ccccc2)C1(OC)OC,0.812146008014679,0.2753623
C=CC[C@@]1(Cl)C(O)=C(Cl)/C(=N\C[C@@H](O)COc2ccccc2)C1(OC)OC,0.8121167421340942,0.2753623
C#CCCC#C/C=C/C#CC[C@@H](Cl)[C@H](Br)[C@H](O)/C(Br)=C\CCCC(=O)NCCCCCNC(=N)N,0.8119968771934509,0.175
CS[C@]1(CO)C(=O)N2c3ccccc3C[C@@]2(SC)C(=O)N1C,0.8118465542793274,0.25714287
C=C1C(=O)N2[C@H]3N(C)c4c(cc(Cl)c(OC)c4OC)[C@@]3(O)[C@@H](O)C2(SC)C(=O)N1C,0.8118448257446289,0.18446602
C=CC[C@@]1(Cl)C(O)=C(Cl)/C(=N\C[C@H](O)COc2ccccc2)C1(OC)OC,0.8118358254432678,0.2753623
C=CC[C@]1(Cl)C(O)=C(Cl)/C(=N\C[C@H](O)COc2ccccc2)C1(OC)OC,0.8118264079093933,0.2753623
S=C(NC1CCCCC1)C(=S)NC1CCCCC1,0.8102787733078003,0.19512194
CCC(C)[C@H]1OC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H](C(C)C)OC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H](C(C)C)OC(=O)[C@H](CC(C)C)N(C)C1O,0.8083614706993103,0.2631579
COc1ccc2c(c1OC)O[C@]13C(=O)N4O[C@H]5[C@H](O)C=C[C@@H](Cl)[C@@]5(O)C[C@@]4(SS[C@H]21)C(=O)N3C,0.8063278794288635,0.22222222
